K,ColorID,Red,Green,Blue
100,0,167,99,51
100,1,24,37,49
100,2,238,197,129
100,3,58,104,117
100,4,166,163,163
100,5,5,7,10
100,6,105,72,47
100,7,235,153,64
100,8,107,101,88
100,9,37,68,86
100,10,165,127,84
100,11,238,95,9
100,12,214,198,188
100,13,64,47,37
100,14,105,135,123
100,15,152,81,39
100,16,16,19,27
100,17,192,167,99
100,18,251,198,87
100,19,68,65,63
100,20,209,136,66
100,21,231,223,213
100,22,32,32,35
100,23,78,77,74
100,24,11,43,67
100,25,215,120,47
100,26,169,177,186
100,27,38,41,45
100,28,230,168,82
100,29,140,103,71
100,30,72,112,121
100,31,252,182,67
100,32,44,92,111
100,33,145,153,118
100,34,252,245,189
100,35,182,195,200
100,36,193,87,24
100,37,91,91,85
100,38,138,83,49
100,39,3,10,22
100,40,127,150,163
100,41,19,54,77
100,42,13,31,48
100,43,247,141,48
100,44,106,118,107
100,45,107,83,61
100,46,178,144,90
100,47,239,209,157
100,48,24,70,98
100,49,51,59,65
100,50,192,165,139
100,51,87,69,57
100,52,134,74,40
100,53,224,184,108
100,54,169,72,20
100,55,123,139,116
100,56,71,98,103
100,57,148,120,82
100,58,208,181,165
100,59,234,116,33
100,60,2,2,2
100,61,196,119,56
100,62,242,216,188
100,63,112,62,34
100,64,9,21,35
100,65,182,145,120
100,66,128,93,66
100,67,34,80,105
100,68,250,160,62
100,69,48,48,50
100,70,197,147,81
100,71,219,154,79
100,72,202,210,213
100,73,53,89,101
100,74,184,103,45
100,75,217,90,15
100,76,27,25,25
100,77,95,127,144
100,78,89,126,121
100,79,7,15,27
100,80,249,211,108
100,81,20,27,37
100,82,147,135,100
100,83,229,137,57
100,84,172,172,172
100,85,60,77,83
100,86,64,57,52
100,87,169,110,64
100,88,244,179,88
100,89,14,14,14
100,90,48,39,34
100,91,83,58,40
100,92,148,94,55
100,93,35,49,60
100,94,128,119,96
100,95,166,158,107
100,96,186,129,73
100,97,88,109,106
100,98,207,105,36
100,99,166,86,38
